phase0_rad,frequency_error_hz,settled_correct_harmonic,settling_us,max_sampled_control_deviation_v,within_assumed_sampled_control_range,last_phase_error_rad,last_frequency_error_hz
0,-4000000,True,17.25,0.21607482234741676,True,-3.923821602364237e-15,0.0
0,-1000000,True,2.875,0.05057318634151383,True,-1.609823385706477e-15,0.0
0,0,True,0.04166666666666667,0.0,True,0.0,0.0
0,1000000,True,2.875,0.05057318634151383,True,1.609823385706477e-15,0.0
0,4000000,True,17.25,0.21607482234741676,True,3.923821602364237e-15,0.0
0,24000000,False,,3.19672190037104e-13,True,3.432254496148312e-13,24000000.00000002
0.5,-4000000,True,17.916666666666668,0.22042308683148518,True,7.448080869107625e-14,6.513775987637282e-09
0.5,-1000000,True,2.9583333333333335,0.050792280639007995,True,-1.609823385706477e-15,0.0
0.5,0,True,2.2083333333333335,0.013625331174650361,True,-3.702274151615073e-103,2.5414922184779356e-94
0.5,1000000,True,2.7916666666666665,0.05072171834124657,True,1.609823385706477e-15,0.0
0.5,4000000,True,17.583333333333336,0.20528450737702306,True,3.923821602364237e-15,0.0
0.5,24000000,False,,0.013625331174650349,True,3.432254496148312e-13,24000000.00000002
1.5,-4000000,True,18.166666666666668,0.20953256616171687,True,-8.820923245425838e-14,-4.342517325091522e-09
1.5,-1000000,True,3.0416666666666665,0.051728963714962335,True,-1.609823385706477e-15,0.0
1.5,0,True,2.7083333333333335,0.03452730438470628,True,-1.1920219939651556e-102,8.182847887143667e-94
1.5,1000000,True,2.2083333333333335,0.05883521661795058,True,1.609823385706477e-15,0.0
1.5,4000000,True,18.0,0.22355140559723372,True,3.920602903053978e-14,4.342517325091522e-09
1.5,24000000,False,,0.03452730438470627,True,3.432254496148312e-13,23999999.99999995
2.8,-4000000,True,19.791666666666664,0.20109448000560776,True,1.175660927181459e-14,0.0
2.8,-1000000,True,3.1666666666666665,0.053043925526456634,True,-1.609823385706477e-15,0.0
2.8,0,True,3.1666666666666665,0.048328583956152325,True,-3.4333481455540655e-102,2.3568831582730794e-93
2.8,1000000,True,3.291666666666667,0.05275006680497231,True,1.5314274795707798e-15,0.0
2.8,4000000,True,19.458333333333332,0.2015010448712467,True,4.508680958899342e-14,4.342517325091522e-09
2.8,24000000,False,,0.04832858395615229,True,3.432254496148312e-13,24000000.000000022
