time_s,code,state,phase_error_rad,vctrl_v,vc1_v,fvco_hz,searches
0.000000000000000000e+00,1.270000000000000000e+02,0.000000000000000000e+00,6.999999999999999556e-01,5.999999999999999778e-01,5.999999999999999778e-01,3.118438937665384293e+09,1.000000000000000000e+00
4.166666666666666919e-08,1.270000000000000000e+02,0.000000000000000000e+00,2.913148364813010205e-01,5.999999999999999778e-01,5.999999999999999778e-01,3.118438937665384293e+09,1.000000000000000000e+00
8.333333333333333839e-08,1.270000000000000000e+02,0.000000000000000000e+00,-1.173703270373866459e-01,5.999999999999999778e-01,5.999999999999999778e-01,3.118438937665384293e+09,1.000000000000000000e+00
1.249999999999999943e-07,1.270000000000000000e+02,0.000000000000000000e+00,-5.260554905561026784e-01,5.999999999999999778e-01,5.999999999999999778e-01,3.118438937665384293e+09,1.000000000000000000e+00
1.666666666666666768e-07,1.270000000000000000e+02,0.000000000000000000e+00,-9.347406540748187664e-01,5.999999999999999778e-01,5.999999999999999778e-01,3.118438937665384293e+09,1.000000000000000000e+00
2.083333333333333327e-07,1.270000000000000000e+02,0.000000000000000000e+00,-1.343425817593477900e+00,5.999999999999999778e-01,5.999999999999999778e-01,3.118438937665384293e+09,1.000000000000000000e+00
2.499999999999999887e-07,1.270000000000000000e+02,0.000000000000000000e+00,-1.752110981112137145e+00,5.999999999999999778e-01,5.999999999999999778e-01,3.118438937665384293e+09,1.000000000000000000e+00
2.916666666666666446e-07,1.270000000000000000e+02,0.000000000000000000e+00,-2.160796144630796611e+00,5.999999999999999778e-01,5.999999999999999778e-01,3.118438937665384293e+09,1.000000000000000000e+00
3.333333333333333535e-07,1.270000000000000000e+02,0.000000000000000000e+00,-2.569481308149455412e+00,5.999999999999999778e-01,5.999999999999999778e-01,3.118438937665384293e+09,1.000000000000000000e+00
3.750000000000000095e-07,1.270000000000000000e+02,0.000000000000000000e+00,-2.978166471668114657e+00,5.999999999999999778e-01,5.999999999999999778e-01,3.118438937665384293e+09,1.000000000000000000e+00
